Start training VAE...
	Epoch 1 complete! 	Average Loss:  135.67269539401607
	Epoch 2 complete! 	Average Loss:  99.70840580655259
Finish!!
         10377872 function calls (10233797 primitive calls) in 39.671 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(prod)
    861/8    0.010    0.000    2.030    0.254 <frozen importlib._bootstrap>:1002(_find_and_load)
        9    0.000    0.000    0.009    0.001 <frozen importlib._bootstrap>:1018(_gcd_import)
  751/208    0.002    0.000    0.912    0.004 <frozen importlib._bootstrap>:1033(_handle_fromlist)
     1990    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:112(release)
      861    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:152(__init__)
      861    0.001    0.000    0.028    0.000 <frozen importlib._bootstrap>:156(__enter__)
      861    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:160(__exit__)
     1990    0.006    0.000    0.014    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      853    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:185(cb)
     1129    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
   1074/8    0.001    0.000    2.027    0.253 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
     8502    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:241(_requires_builtin_wrapper)
      767    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
     1058    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:351(__init__)
     1567    0.002    0.000    0.027    0.000 <frozen importlib._bootstrap>:385(cached)
     1914    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:398(parent)
      824    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
      824    0.005    0.000    0.038    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
  824/809    0.002    0.000    0.164    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      853    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:58(__init__)
    822/8    0.007    0.000    2.027    0.253 <frozen importlib._bootstrap>:659(_load_unlocked)
      845    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:736(find_spec)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:757(create_module)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(exec_module)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:782(is_package)
      826    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:811(find_spec)
     1990    0.017    0.000    0.018    0.000 <frozen importlib._bootstrap>:87(acquire)
     2519    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:874(__enter__)
     2519    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:878(__exit__)
      845    0.008    0.000    0.294    0.000 <frozen importlib._bootstrap>:901(_find_spec)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:948(_sanity_check)
    858/8    0.005    0.000    2.030    0.254 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      767    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
      767    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1031(get_filename)
      767    0.006    0.000    0.388    0.001 <frozen importlib._bootstrap_external>:1036(get_data)
      767    0.001    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
     9119    0.008    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:114(<listcomp>)
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1155(__init__)
       35    0.000    0.000    0.074    0.002 <frozen importlib._bootstrap_external>:1171(create_module)
    35/30    0.000    0.000    0.021    0.001 <frozen importlib._bootstrap_external>:1179(exec_module)
     1534    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
     4602    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      103    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1324(_path_hooks)
     1434    0.002    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
     4833    0.004    0.000    0.281    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      826    0.005    0.000    0.279    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
      826    0.001    0.000    0.281    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
     2385    0.004    0.000    0.129    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      108    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1466(__init__)
      849    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1472(<genexpr>)
       19    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1488(find_loader)
      802    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
     1577    0.022    0.000    0.361    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
     2073    0.002    0.000    0.111    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      108    0.003    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1556(_fill_cache)
      108    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1585(<setcomp>)
      312    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
      105    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1597(path_hook_for_FileFinder)
      145    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:167(_path_isabs)
     1534    0.008    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
      800    0.002    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
      767    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
       19    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:543(_find_module_shim)
      767    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
      767    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
     1577    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
      767    0.003    0.000    0.080    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
      802    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
     2301    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      767    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:841(create_module)
    767/8    0.003    0.000    2.026    0.253 <frozen importlib._bootstrap_external>:844(exec_module)
     9119    0.065    0.000    0.101    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
      767    0.015    0.000    0.558    0.001 <frozen importlib._bootstrap_external>:916(get_code)
      105    0.001    0.000    0.009    0.000 <frozen zipimport>:63(__init__)
       35    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
        1    0.000    0.000    0.000    0.000 <string>:1(error)
        1    0.000    0.000    0.000    0.000 <string>:11(com_error)
        1    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.005    0.005 BmpImagePlugin.py:27(<module>)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:275(DibImageFile)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:60(BmpImageFile)
        1    0.000    0.000    0.000    0.000 ElementPath.py:334(_SelectorContext)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:106(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1116(_ListDataStream)
        1    0.000    0.000    0.000    0.000 ElementTree.py:125(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1281(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1393(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1515(XMLParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1778(C14NWriterTarget)
        1    0.000    0.000    0.001    0.001 ElementTree.py:36(_get_py3_cls)
        1    0.000    0.000    0.000    0.000 ElementTree.py:477(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:525(ElementTree)
        1    0.000    0.000    0.008    0.008 ElementTree.py:6(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:79(DefusedXMLParser)
        1    0.000    0.000    0.002    0.002 GifImagePlugin.py:27(<module>)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:50(GifImageFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:104(GimpGradientFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:66(GradientFile)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:17(<module>)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:22(GimpPaletteFile)
        1    0.000    0.000    0.000    0.000 Image.py:100(DecompressionBombError)
   120100    0.119    0.000    0.176    0.000 Image.py:1254(getbands)
        3    0.000    0.000    0.051    0.017 Image.py:2158(save)
        1    0.000    0.000    0.000    0.000 Image.py:2620(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2629(ImageTransformHandler)
   240209    0.243    0.000    0.332    0.000 Image.py:2651(_check_size)
   120103    0.361    0.000    1.331    0.000 Image.py:2669(new)
   120100    0.171    0.000    0.216    0.000 Image.py:269(_conv_type_shape)
        1    0.000    0.000    0.024    0.024 Image.py:27(<module>)
        3    0.000    0.000    0.000    0.000 Image.py:2708(frombytes)
   120103    0.443    0.000    2.497    0.000 Image.py:2746(frombuffer)
   120103    0.996    0.000    3.553    0.000 Image.py:2799(fromarray)
        7    0.000    0.000    0.000    0.000 Image.py:3138(register_open)
        7    0.000    0.000    0.000    0.000 Image.py:3153(register_mime)
